query,score,value,query_en
перевод,map,0.5555555555555556,translation
перевод,ndcg,0.5289431222841401,translation
новости,map,0.49071618037135284,news
новости,ndcg,0.5245637520191305,news
чебурашка,map,0.2413793103448276,Cheburashka
чебурашка,ndcg,0.38822632544787206,Cheburashka
chatgpt,map,0.1388888888888889,chatgpt
chatgpt,ndcg,0.3111825668292938,chatgpt
электронный дневник,map,0.6666666666666666,electronic diary
электронный дневник,ndcg,0.8220104169631571,electronic diary
гугл,map,-0.0,Google
гугл,ndcg,1.0,Google
гипсофилы,map,0.03125,Gypsophyla
гипсофилы,ndcg,0.5853289715883724,Gypsophyla
госуслуги,map,0.043478260869565216,public services
госуслуги,ndcg,0.6119269244230916,public services
ютуб,map,0.2,Ютуб
ютуб,ndcg,0.6115123977931523,Ютуб
телеграм,map,0.11764705882352941,telegram
телеграм,ndcg,0.6036909395482206,telegram
погода завтра,map,0.14814814814814814,Weather tomorrow
погода завтра,ndcg,0.20925003497420142,Weather tomorrow
авито,map,0.4482758620689655,Avito
авито,ndcg,0.24975917070046988,Avito
валберис,map,0.5938461538461539,Walberis
валберис,ndcg,0.603947171924025,Walberis
вк,map,0.4433198380566802,VC
вк,ndcg,0.5686706075221212,VC
переводчик,map,0.3888888888888889,translator
переводчик,ndcg,0.5207095507196607,translator
дневник ру,map,-0.0,diary RU
дневник ру,ndcg,0.789309994469166,diary RU
одноклассники,map,0.6428571428571429,classmates
одноклассники,ndcg,0.7,classmates
с днем рождения,map,-0.0,Happy birthday
с днем рождения,ndcg,0.8426369844071613,Happy birthday
программа передач,map,-0.0,Program Guide
программа передач,ndcg,0.7916666666666666,Program Guide
яндекс,map,0.43859649122807015,Yandex
яндекс,ndcg,0.5781790144199375,Yandex
пасха 2023,map,-0.0,Easter 2023
пасха 2023,ndcg,0.8428831658057092,Easter 2023
днс,map,0.8787878787878788,DNS
днс,ndcg,0.908045977011494,DNS
сбербанк,map,0.6666666666666666,Sberbank
сбербанк,ndcg,0.5966210882060327,Sberbank
вконтакте,map,0.47214076246334313,in contact with
вконтакте,ndcg,0.5240690740152022,in contact with
вайлдберриз,map,0.7146739130434783,vildberry
вайлдберриз,ndcg,0.6384454026014733,vildberry
гдз,map,0.038461538461538464,Gdz
гдз,ndcg,0.6121724099380941,Gdz
youtube,map,0.25,youtube
youtube,ndcg,0.5850296960392124,youtube
аватар 2,map,0.06666666666666667,Avatar 2
аватар 2,ndcg,0.6206049450394423,Avatar 2
озон,map,0.3939393939393939,ozone
озон,ndcg,0.3783991621700734,ozone
инна чурикова,map,-0.0,Inna Churikova
инна чурикова,ndcg,0.81447995575333,Inna Churikova
погода,map,1.0,weather
погода,ndcg,0.45799708093598995,weather
atomic heart,map,1.0,atomic heart
atomic heart,ndcg,0.8347536559934973,atomic heart
производственный календарь 2023,map,-0.0,Production calendar 2023
производственный календарь 2023,ndcg,0.4360779037081559,Production calendar 2023
сетевой город,map,-0.0,Network city
сетевой город,ndcg,0.7,Network city
сбербанк онлайн,map,0.5384615384615384,Sberbank Online
сбербанк онлайн,ndcg,0.7700767547584026,Sberbank Online
